ID	Delay	Delay2	Latency	Latency2	Success_Ratio	Energy	Hops	txPackets	rxPackets	ShortestPath	LongestPath	Orchestrators	Neighbors	Paths	Distance	DevFast	DevMedium	DevSlow	LoadSmall	LoadMedium	LoadBig
181	55.4315	57.4534	1.11773	3.13961	100	0.74889	22	9	9	1	7	4	19	24	1127	0	2	7	0	0	9
892	48.3078	52.4432	2.22824	6.3636	100	0.748488	25	7	7	1	7	4	18	24	1047	0	3	6	0	0	9
760	45.1575	48.0007	1.07796	3.92111	66.6667	0.748314	21	11	6	2	9	4	19	24	804	0	1	8	0	3	6
781	35.2808	37.5016	2.13512	4.35592	100	0.7481	21	7	7	1	4	4	19	24	1068	2	4	3	2	2	5
844	40.9843	43.6753	2.10475	4.79576	100	0.747699	26	6	6	2	6	4	19	24	1128	2	2	5	0	3	6
548	40.7049	41.7034	0.505906	1.5044	90.9091	0.747681	14	6	5	1	5	5	19	5	1153	0	2	8	2	0	8
230	50.932	53.9675	1.11828	4.15377	92.3077	0.746893	27	9	8	1	12	4	18	24	1020	0	2	7	0	2	7
392	38.8803	40.3897	1.73944	3.24885	90	0.746504	22	6	5	2	9	4	17	24	1137	0	1	8	2	4	3
905	53.837	56.9713	1.12989	4.26411	100	0.746479	22	8	8	1	7	4	20	24	1098	0	2	7	0	0	9
386	43.7166	47.7891	1.94158	6.01407	92.3077	0.746264	50	9	8	2	17	3	18	43	1234	2	2	4	2	1	5
549	48.4723	49.9948	0.858537	2.38108	69.2308	0.745961	20	9	5	1	10	4	20	24	1353	0	4	5	0	2	7
810	50.0764	52.1473	1.59686	3.66776	85.7143	0.7458	27	10	8	2	11	4	19	24	965	2	1	6	0	2	7
100	47.8504	49.1773	0.512578	1.83951	100	0.745789	19	6	6	1	7	5	19	5	1066	0	2	8	0	0	10
439	56.2065	61.0056	1.89279	6.69183	87.5	0.745713	24	12	10	1	8	4	19	24	1045	0	2	7	0	0	9
903	55.3202	57.5493	1.00649	3.23553	87.5	0.745549	20	12	10	1	8	4	19	24	975	0	2	7	0	0	9
566	44.977	46.9365	0.715582	2.67513	100	0.745226	26	8	8	1	9	4	19	24	1076	0	4	5	1	0	8
919	49.6955	51.5528	0.878645	2.7359	84.6154	0.7448	15	9	7	1	4	4	20	24	1004	0	2	7	0	2	7
75	37.843	39.3033	0.497352	1.95766	91.6667	0.744277	24	8	7	1	7	4	18	24	903	0	4	5	2	0	7
663	54.983	56.8347	1.26924	3.12092	83.3333	0.744215	19	8	6	1	7	4	19	24	893	0	0	9	0	2	7
734	39.4963	40.527	0.858477	1.88922	90	0.744097	9	5	4	1	4	5	18	5	669	2	2	6	0	4	6
4	51.909	54.7973	1.57916	4.46741	81.8182	0.74359	34	9	7	3	13	2	19	62	1350	2	2	3	2	2	3
283	61.6439	65.3149	1.29637	4.96729	86.6667	0.74351	37	12	10	1	12	3	18	23	1076	0	0	8	0	2	6
239	47.9739	52.4169	1.16014	5.60313	86.6667	0.743471	22	11	9	1	4	4	18	24	935	1	0	8	0	4	5
20	40.1563	42.7371	0.918494	3.49934	100	0.743454	14	6	6	1	3	5	18	5	1028	0	2	8	0	4	6
609	66.361	69.0556	1.40736	4.10196	60	0.743347	26	12	6	3	8	3	18	43	1123	1	2	5	0	0	8
1002	39.9515	40.6226	1.91372	2.58477	90	0.743297	13	5	4	2	5	5	18	5	1179	0	0	10	2	4	4
941	52.478	54.1642	1.68366	3.36985	91.6667	0.743054	24	8	7	1	7	4	19	24	1216	2	2	5	0	0	9
975	48.8299	51.2904	1.22271	3.68321	100	0.742565	18	7	7	1	5	4	19	24	1220	0	2	7	0	3	6
346	47.7729	49.3257	0.659157	2.21199	92.3077	0.742486	18	9	8	1	5	4	20	24	1105	0	2	7	1	0	8
724	54.8183	55.9924	0.70454	1.87862	60	0.741576	14	11	5	1	5	4	19	24	1201	1	0	8	0	1	8
373	47.863	49.1781	0.52524	1.84033	100	0.741165	14	6	6	1	4	5	19	5	1269	0	2	8	0	0	10
